node3  | [12:24:58] [node3] PAXOS LEARN/DECIDE slot=288 value=transfer
node3  | [12:24:58] [node3] LEDGER append seq=288 -> /data/node3.log
node3  | [12:24:59] [node3] PAXOS LEARN/DECIDE slot=289 value=transfer
node3  | [12:24:59] [node3] LEDGER append seq=289 -> /data/node3.log
node3  | [12:24:59] [node3] PAXOS LEARN/DECIDE slot=290 value=transfer
node3  | [12:24:59] [node3] LEDGER append seq=290 -> /data/node3.log
node3  | [12:24:59] [node3] PAXOS LEARN/DECIDE slot=291 value=transfer
node3  | [12:24:59] [node3] LEDGER append seq=291 -> /data/node3.log
node3  | [12:25:00] [node3] PAXOS LEARN/DECIDE slot=292 value=transfer
node3  | [12:25:00] [node3] LEDGER append seq=292 -> /data/node3.log
node3  | [12:25:00] [node3] PAXOS LEARN/DECIDE slot=293 value=transfer
node3  | [12:25:00] [node3] LEDGER append seq=293 -> /data/node3.log
node3  | [12:25:00] [node3] PAXOS LEARN/DECIDE slot=294 value=transfer
node3  | [12:25:01] [node3] LEDGER append seq=294 -> /data/node3.log
node3  | [12:25:01] [node3] PAXOS LEARN/DECIDE slot=295 value=transfer
node3  | [12:25:01] [node3] LEDGER append seq=295 -> /data/node3.log
node3  | [12:25:01] [node3] PAXOS LEARN/DECIDE slot=296 value=transfer
node3  | [12:25:01] [node3] LEDGER append seq=296 -> /data/node3.log
node3  | [12:25:02] [node3] PAXOS LEARN/DECIDE slot=297 value=transfer
node3  | [12:25:02] [node3] LEDGER append seq=297 -> /data/node3.log
node3  | [12:25:02] [node3] PAXOS LEARN/DECIDE slot=298 value=transfer
node3  | [12:25:02] [node3] LEDGER append seq=298 -> /data/node3.log
node3  | [12:25:02] [node3] PAXOS LEARN/DECIDE slot=299 value=transfer
node3  | [12:25:02] [node3] LEDGER append seq=299 -> /data/node3.log
node3  | [12:25:03] [node3] PAXOS LEARN/DECIDE slot=300 value=transfer
node3  | [12:25:03] [node3] LEDGER append seq=300 -> /data/node3.log
node3  | [12:25:03] [node3] PAXOS LEARN/DECIDE slot=301 value=transfer
node3  | [12:25:03] [node3] LEDGER append seq=301 -> /data/node3.log
node3  | [12:25:03] [node3] PAXOS LEARN/DECIDE slot=302 value=transfer
node3  | [12:25:03] [node3] LEDGER append seq=302 -> /data/node3.log
node3  | [12:25:04] [node3] PAXOS LEARN/DECIDE slot=303 value=transfer
node3  | [12:25:04] [node3] LEDGER append seq=303 -> /data/node3.log
node3  | [12:25:04] [node3] PAXOS LEARN/DECIDE slot=304 value=transfer
node3  | [12:25:04] [node3] LEDGER append seq=304 -> /data/node3.log
node3  | [12:25:04] [node3] PAXOS LEARN/DECIDE slot=305 value=transfer
node3  | [12:25:04] [node3] LEDGER append seq=305 -> /data/node3.log
node3  | [12:25:05] [node3] PAXOS LEARN/DECIDE slot=306 value=transfer
node3  | [12:25:05] [node3] LEDGER append seq=306 -> /data/node3.log
node3  | [12:25:05] [node3] PAXOS LEARN/DECIDE slot=307 value=transfer
node3  | [12:25:05] [node3] LEDGER append seq=307 -> /data/node3.log
node3  | [12:25:06] [node3] PAXOS LEARN/DECIDE slot=308 value=transfer
node3  | [12:25:06] [node3] LEDGER append seq=308 -> /data/node3.log
node3  | [12:25:06] [node3] PAXOS LEARN/DECIDE slot=309 value=transfer
node3  | [12:25:06] [node3] LEDGER append seq=309 -> /data/node3.log
node3  | [12:25:06] [node3] PAXOS LEARN/DECIDE slot=310 value=transfer
node3  | [12:25:06] [node3] LEDGER append seq=310 -> /data/node3.log
node3  | [12:25:07] [node3] PAXOS LEARN/DECIDE slot=311 value=transfer
node3  | [12:25:07] [node3] LEDGER append seq=311 -> /data/node3.log
node3  | [12:25:07] [node3] PAXOS LEARN/DECIDE slot=312 value=transfer
